Modelos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
MLPClassifier(random_state=7),Normalizer,8,0.875,0.875,0.8864285714285713
MLPClassifier(random_state=7),MinMaxScaler,19,0.875,0.875,0.8864285714285713
MLPClassifier(random_state=7),QuantileTransformer,15,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,25,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,31,0.8625,0.9,0.841984126984127
MLPClassifier(random_state=7),MaxAbsScaler,26,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,27,0.8625,0.9,0.841984126984127
MLPClassifier(random_state=7),MaxAbsScaler,28,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,30,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,32,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,23,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,16,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,16,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,17,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,25,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,26,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,28,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,32,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Normalizer,13,0.8625,0.85,0.8805555555555555
MLPClassifier(random_state=7),RobustScaler,15,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,22,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,21,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,20,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,19,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,15,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),QuantileTransformer,24,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,20,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,22,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,23,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MaxAbsScaler,24,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,19,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,16,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),StandardScaler,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Original,20,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Original,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Original,17,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,17,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Original,16,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),Original,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,15,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,16,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,20,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,22,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,23,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,25,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,28,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,30,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,31,0.8625,0.9,0.841984126984127
MLPClassifier(random_state=7),StandardScaler,26,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),MinMaxScaler,32,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,20,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),RobustScaler,18,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),StandardScaler,14,0.8625,0.875,0.8642063492063492
MLPClassifier(random_state=7),StandardScaler,17,0.85,0.875,0.8392063492063493
MLPClassifier(random_state=7),QuantileTransformer,31,0.85,0.9,0.8242063492063492
MLPClassifier(random_state=7),Original,21,0.85,0.875,0.8464285714285713
MLPClassifier(random_state=7),QuantileTransformer,29,0.85,0.9,0.8242063492063492
MLPClassifier(random_state=7),MinMaxScaler,33,0.85,0.9,0.8242063492063492
MLPClassifier(random_state=7),StandardScaler,16,0.85,0.875,0.8392063492063493
MLPClassifier(random_state=7),Normalizer,20,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),Normalizer,18,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),Normalizer,16,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),Normalizer,14,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),StandardScaler,15,0.85,0.9,0.8242063492063492
MLPClassifier(random_state=7),RobustScaler,24,0.85,0.825,0.8825396825396826
MLPClassifier(random_state=7),StandardScaler,24,0.85,0.875,0.8392063492063493
MLPClassifier(random_state=7),StandardScaler,23,0.85,0.875,0.8392063492063493
MLPClassifier(random_state=7),Normalizer,12,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),Normalizer,11,0.85,0.85,0.8555555555555555
MLPClassifier(random_state=7),QuantileTransformer,27,0.85,0.9,0.8242063492063492
MLPClassifier(random_state=7),Normalizer,17,0.8375,0.85,0.8333333333333333
MLPClassifier(random_state=7),RobustScaler,23,0.8375,0.8,0.8797619047619047
MLPClassifier(random_state=7),QuantileTransformer,30,0.8375,0.875,0.8197619047619048
MLPClassifier(random_state=7),MaxAbsScaler,33,0.8375,0.875,0.8197619047619048
MLPClassifier(random_state=7),StandardScaler,21,0.8375,0.875,0.8197619047619048
MLPClassifier(random_state=7),QuantileTransformer,33,0.8375,0.875,0.8197619047619048
MLPClassifier(random_state=7),StandardScaler,31,0.825,0.875,0.8003174603174603
MLPClassifier(random_state=7),Normalizer,15,0.825,0.825,0.836111111111111
MLPClassifier(random_state=7),StandardScaler,25,0.825,0.875,0.8003174603174603
MLPClassifier(random_state=7),StandardScaler,32,0.8125,0.85,0.7975396825396824
MLPClassifier(random_state=7),Normalizer,19,0.8125,0.825,0.8111111111111111
MLPClassifier(random_state=7),StandardScaler,30,0.8125,0.85,0.7975396825396824
MLPClassifier(random_state=7),StandardScaler,28,0.8125,0.85,0.7947619047619048
MLPClassifier(random_state=7),StandardScaler,27,0.8125,0.85,0.7947619047619048
MLPClassifier(random_state=7),StandardScaler,29,0.8,0.825,0.7919841269841269
MLPClassifier(random_state=7),StandardScaler,22,0.8,0.85,0.781984126984127
MLPClassifier(random_state=7),RobustScaler,26,0.8,0.825,0.7876190476190477
MLPClassifier(random_state=7),Original,22,0.8,0.8,0.8103174603174603
MLPClassifier(random_state=7),StandardScaler,33,0.8,0.825,0.7919841269841269
MLPClassifier(random_state=7),Original,25,0.8,0.85,0.7792063492063491
MLPClassifier(random_state=7),RobustScaler,25,0.7875,0.8,0.7848412698412698
MLPClassifier(random_state=7),Original,30,0.7875,0.8,0.7864285714285714
MLPClassifier(random_state=7),RobustScaler,27,0.7875,0.775,0.803888888888889
MLPClassifier(random_state=7),Normalizer,21,0.7875,0.775,0.8055555555555556
MLPClassifier(random_state=7),RobustScaler,22,0.7875,0.825,0.7694444444444444
MLPClassifier(random_state=7),Original,31,0.775,0.775,0.7880952380952381
MLPClassifier(random_state=7),RobustScaler,28,0.775,0.775,0.7792857142857142
MLPClassifier(random_state=7),RobustScaler,30,0.775,0.775,0.7903679653679654
MLPClassifier(random_state=7),RobustScaler,31,0.775,0.775,0.7903679653679654
MLPClassifier(random_state=7),Original,24,0.775,0.775,0.7880952380952381
MLPClassifier(random_state=7),RobustScaler,29,0.7625,0.75,0.7875901875901876
MLPClassifier(random_state=7),RobustScaler,33,0.7625,0.775,0.7673520923520923
MLPClassifier(random_state=7),Original,23,0.7625,0.775,0.7622222222222222
MLPClassifier(random_state=7),Original,27,0.75,0.75,0.7503174603174603
MLPClassifier(random_state=7),Original,33,0.75,0.75,0.7483333333333333
MLPClassifier(random_state=7),Original,32,0.75,0.775,0.7411904761904762
MLPClassifier(random_state=7),RobustScaler,32,0.75,0.75,0.762987012987013
MLPClassifier(random_state=7),Original,29,0.7375,0.725,0.7338888888888888
MLPClassifier(random_state=7),Original,26,0.7125,0.675,0.7211904761904762
MLPClassifier(random_state=7),Normalizer,22,0.675,0.65,0.7083766233766233
MLPClassifier(random_state=7),Normalizer,30,0.65,0.6,0.6761904761904762
MLPClassifier(random_state=7),Normalizer,23,0.6375,0.6,0.6698051948051948
MLPClassifier(random_state=7),Normalizer,33,0.6375,0.575,0.6661904761904761
MLPClassifier(random_state=7),Normalizer,24,0.6375,0.6,0.6707142857142857
MLPClassifier(random_state=7),Normalizer,28,0.6375,0.6,0.6583333333333333
MLPClassifier(random_state=7),Normalizer,26,0.6375,0.6,0.6678571428571429
MLPClassifier(random_state=7),Normalizer,25,0.6375,0.6,0.6683333333333333
MLPClassifier(random_state=7),Normalizer,27,0.625,0.575,0.6583333333333333
MLPClassifier(random_state=7),Normalizer,32,0.6125,0.575,0.6374242424242424
MLPClassifier(random_state=7),Normalizer,29,0.6125,0.575,0.6374242424242424
MLPClassifier(random_state=7),Normalizer,31,0.6125,0.55,0.645
MLPClassifier(random_state=7),Original,28,0.5375,0.95,0.5233766233766234
