iter	Logloss
0	0.6889286364
1	0.6826074412
2	0.6786248197
3	0.6730799275
4	0.6694379524
5	0.66689051
6	0.6631571772
7	0.6595098207
8	0.6564441349
9	0.6531039965
10	0.6500806189
11	0.6464364993
12	0.6437788211
13	0.640462469
14	0.6363947818
15	0.6337599612
16	0.6308416505
17	0.6272132011
18	0.6234090616
19	0.6201913283
20	0.6161855653
21	0.6134163376
22	0.6101406302
23	0.6080199773
24	0.6054574064
25	0.60272014
26	0.6011239855
27	0.598771905
28	0.5965132925
29	0.5945900086
30	0.5919437393
31	0.5893629565
32	0.5870517519
33	0.5843892623
34	0.5823198078
35	0.5803033318
36	0.5783150082
37	0.5768251928
38	0.5753269942
39	0.5735073828
40	0.5727465469
41	0.5709761514
42	0.5686605237
43	0.5671266975
44	0.5648597807
45	0.5624169978
46	0.5608407082
47	0.5596732793
48	0.55803647
49	0.5569256686
50	0.555419005
51	0.5539268162
52	0.5520390895
53	0.5507439587
54	0.549267875
55	0.5478458789
56	0.5462895407
57	0.5447901931
58	0.5431824762
59	0.5425732025
60	0.5411007762
61	0.5406020912
62	0.5396570397
63	0.538325676
64	0.536560519
65	0.5355547473
66	0.5343697613
67	0.5327441031
68	0.5312491305
69	0.5294538896
70	0.5284106748
71	0.5264814962
72	0.525151889
73	0.5235252514
74	0.5225966443
75	0.5216707277
76	0.5206100856
77	0.5194143862
78	0.5182412502
79	0.5165571312
80	0.5155585215
81	0.5150615198
82	0.5144982858
83	0.5133954256
84	0.512495443
85	0.5118341882
86	0.5106192811
87	0.5099012249
88	0.5091438593
89	0.5081790027
90	0.5070362207
91	0.5064035391
92	0.5053486613
93	0.5044890308
94	0.5036105844
95	0.5026174643
96	0.5016985915
97	0.5008734662
98	0.4996347495
99	0.4984226882
100	0.4976456031
101	0.4968253023
102	0.4962491921
103	0.4954856052
104	0.4948499428
105	0.4941344159
106	0.493501998
107	0.4926210096
108	0.49229629
109	0.4915171509
110	0.4904224322
111	0.4892374737
112	0.4884891793
113	0.4876900428
114	0.4873714175
115	0.4866914435
116	0.4863343068
117	0.4858842824
118	0.4852139293
119	0.4846924406
120	0.4836881059
121	0.483415228
122	0.4827244642
123	0.482293808
124	0.4812287201
125	0.480693643
126	0.4802374384
127	0.4797361747
128	0.4794546719
129	0.478941787
130	0.4786176906
131	0.4781327516
132	0.4775438257
133	0.4766878556
134	0.4761760423
135	0.4758556594
136	0.4754851639
137	0.4748105838
138	0.4742868179
139	0.4738799023
140	0.4735047562
141	0.4726600683
142	0.4723839569
143	0.4717776978
144	0.4714428114
145	0.4713374608
146	0.470624336
147	0.4701012005
148	0.4696457548
149	0.4690823037
150	0.4685877425
151	0.4681094729
152	0.4678053199
153	0.4671853795
154	0.4668248525
155	0.466313729
156	0.4657792956
157	0.4654882492
158	0.4649797916
159	0.4645665226
160	0.4641948955
161	0.4636173789
162	0.4633073979
163	0.4626588064
164	0.4623482252
165	0.4621270007
166	0.4617832564
167	0.4611608006
168	0.4608655559
169	0.4605490671
170	0.4601005555
171	0.4596520289
172	0.4590689443
173	0.4588871219
174	0.458494704
