Modelos,Escala dos Dados,Variáveis Utilizadas,Número de Iterações,Acurácia Média,Recall Médio,Precisão Média
CatBoostClassifier,RobustScaler,3,800,0.7616797312430013,0.801418439716312,0.7428957608286734
CatBoostClassifier,QuantileTransformer,6,800,0.7616573348264277,0.8057624113475177,0.7403090979101761
CatBoostClassifier,MinMaxScaler,3,800,0.7595744680851064,0.801418439716312,0.7404663822976
CatBoostClassifier,Original,3,800,0.7595744680851064,0.801418439716312,0.7404663822976
CatBoostClassifier,StandardScaler,3,800,0.7595744680851064,0.801418439716312,0.7404663822976
CatBoostClassifier,MaxAbsScaler,3,800,0.7595744680851064,0.801418439716312,0.7404663822976
CatBoostClassifier,QuantileTransformer,3,800,0.7595744680851064,0.801418439716312,0.7404663822976
CatBoostClassifier,QuantileTransformer,3,200,0.7595520716685329,0.8056737588652483,0.7385387804876451
CatBoostClassifier,RobustScaler,3,200,0.7595520716685329,0.8056737588652483,0.7379477508554533
CatBoostClassifier,QuantileTransformer,4,800,0.7595072788353863,0.797340425531915,0.7412085561497326
CatBoostClassifier,MinMaxScaler,3,500,0.7574692049272118,0.7971631205673759,0.7390348207079442
CatBoostClassifier,MaxAbsScaler,3,500,0.7574692049272118,0.7971631205673759,0.7390348207079442
CatBoostClassifier,Original,3,500,0.7574692049272118,0.7971631205673759,0.7390348207079442
CatBoostClassifier,RobustScaler,3,500,0.7574692049272118,0.7971631205673759,0.7390348207079442
CatBoostClassifier,StandardScaler,3,200,0.7574468085106383,0.8056737588652483,0.7355183723243799
CatBoostClassifier,MaxAbsScaler,3,200,0.7574468085106383,0.8056737588652483,0.7355183723243799
CatBoostClassifier,MinMaxScaler,3,200,0.7574468085106383,0.8056737588652483,0.7355183723243799
CatBoostClassifier,Original,3,200,0.7574468085106383,0.8056737588652483,0.7355183723243799
CatBoostClassifier,QuantileTransformer,4,200,0.7574020156774915,0.7929964539007093,0.7397028629633672
CatBoostClassifier,StandardScaler,3,500,0.755363941769317,0.7929964539007093,0.7380996950504339
CatBoostClassifier,QuantileTransformer,3,500,0.755363941769317,0.7929964539007093,0.7380996950504339
CatBoostClassifier,QuantileTransformer,4,500,0.7552519596864501,0.7973404255319149,0.735516248457425
CatBoostClassifier,StandardScaler,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,QuantileTransformer,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,MaxAbsScaler,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,RobustScaler,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,Original,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,MinMaxScaler,10,200,0.7531690929451288,0.7930851063829787,0.7342225569473071
CatBoostClassifier,RobustScaler,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,MaxAbsScaler,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,Original,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,MinMaxScaler,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,StandardScaler,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,QuantileTransformer,7,500,0.7510862262038073,0.7930851063829787,0.7321765783467912
CatBoostClassifier,QuantileTransformer,9,200,0.7510638297872341,0.7930851063829787,0.7309488550665021
CatBoostClassifier,Original,8,500,0.7490033594624861,0.7806737588652481,0.7338104352852253
CatBoostClassifier,RobustScaler,8,500,0.7490033594624861,0.7806737588652481,0.7338104352852253
CatBoostClassifier,MaxAbsScaler,8,500,0.7490033594624861,0.7806737588652481,0.7338104352852253
CatBoostClassifier,StandardScaler,8,500,0.7490033594624861,0.7806737588652481,0.7338104352852253
CatBoostClassifier,MinMaxScaler,8,500,0.7490033594624861,0.7806737588652481,0.7338104352852253
CatBoostClassifier,MaxAbsScaler,7,200,0.7489809630459128,0.7888297872340425,0.7319790226583847
CatBoostClassifier,StandardScaler,7,200,0.7489809630459128,0.7888297872340425,0.7319790226583847
CatBoostClassifier,Original,7,200,0.7489809630459128,0.7888297872340425,0.7319790226583847
CatBoostClassifier,MinMaxScaler,7,200,0.7489809630459128,0.7888297872340425,0.7319790226583847
CatBoostClassifier,RobustScaler,7,200,0.7489809630459128,0.7888297872340425,0.7319790226583847
CatBoostClassifier,QuantileTransformer,5,200,0.7489809630459126,0.8056737588652482,0.7235702515671305
CatBoostClassifier,QuantileTransformer,5,800,0.7489585666293394,0.788741134751773,0.7307338319943362
CatBoostClassifier,QuantileTransformer,9,800,0.7489585666293392,0.7804964539007092,0.7347553183196671
CatBoostClassifier,QuantileTransformer,6,200,0.7489585666293392,0.7972517730496453,0.726851257674787
CatBoostClassifier,QuantileTransformer,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
CatBoostClassifier,StandardScaler,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
CatBoostClassifier,MinMaxScaler,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
CatBoostClassifier,RobustScaler,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
CatBoostClassifier,QuantileTransformer,8,500,0.7489361702127659,0.7845744680851063,0.7327056357134049
CatBoostClassifier,Original,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
CatBoostClassifier,MaxAbsScaler,7,800,0.7489361702127659,0.7888297872340425,0.7310471429339354
