iter	Passed	Remaining
177	2130	10688
178	2141	10672
179	2152	10655
180	2163	10639
181	2175	10624
182	2185	10607
183	2197	10591
184	2208	10576
185	2219	10559
186	2230	10543
187	2241	10528
188	2252	10512
189	2263	10497
190	2275	10482
191	2287	10471
192	2303	10476
193	2314	10461
194	2325	10445
195	2336	10428
196	2347	10413
197	2358	10397
198	2369	10381
199	2380	10367
200	2391	10351
201	2402	10337
202	2413	10321
203	2424	10306
204	2435	10289
205	2446	10273
206	2457	10259
207	2470	10249
208	2481	10235
209	2493	10223
210	2509	10227
211	2525	10232
212	2541	10238
213	2558	10246
214	2575	10254
215	2591	10258
216	2608	10266
217	2626	10275
218	2644	10287
219	2663	10301
220	2679	10304
221	2695	10306
222	2710	10307
223	2726	10308
224	2742	10310
225	2757	10311
226	2773	10313
227	2790	10316
228	2806	10319
229	2822	10321
230	2838	10321
231	2849	10305
232	2861	10290
233	2872	10274
234	2883	10258
235	2897	10252
236	2909	10239
237	2922	10229
238	2938	10228
239	2949	10213
240	2964	10210
241	2980	10211
242	2994	10202
243	3009	10198
244	3024	10196
245	3040	10196
246	3056	10196
247	3072	10196
248	3088	10196
249	3103	10193
250	3115	10176
251	3116	10127
252	3127	10111
253	3138	10095
254	3149	10079
255	3160	10062
256	3171	10046
257	3182	10030
258	3194	10013
259	3204	9997
260	3215	9980
261	3226	9964
262	3238	9948
263	3248	9931
264	3259	9914
265	3271	9899
266	3273	9856
267	3287	9849
268	3300	9839
269	3311	9823
270	3322	9807
271	3333	9792
272	3344	9776
273	3355	9760
274	3366	9745
275	3377	9729
276	3388	9713
277	3399	9697
278	3410	9681
279	3421	9665
280	3432	9650
281	3443	9634
282	3454	9619
283	3465	9603
284	3479	9594
285	3490	9579
286	3501	9565
287	3512	9549
288	3523	9534
289	3534	9519
290	3545	9503
291	3556	9488
292	3567	9473
293	3579	9459
294	3590	9444
295	3601	9429
296	3612	9413
297	3623	9398
298	3634	9383
299	3645	9368
300	3656	9353
301	3667	9338
302	3681	9330
303	3695	9323
304	3706	9307
305	3716	9292
306	3728	9277
307	3739	9263
308	3750	9248
309	3761	9233
310	3772	9219
311	3783	9203
312	3794	9188
313	3805	9174
314	3816	9160
315	3828	9146
316	3839	9133
317	3853	9123
318	3866	9115
319	3882	9111
320	3898	9108
321	3914	9106
322	3931	9104
323	3948	9102
324	3964	9099
325	3981	9097
326	3996	9093
327	4012	9090
328	4028	9086
329	4045	9084
330	4062	9081
331	4078	9077
332	4094	9075
333	4111	9071
334	4127	9068
335	4144	9065
336	4160	9062
337	4176	9056
338	4191	9051
339	4203	9037
340	4214	9023
341	4226	9008
342	4237	8993
343	4248	8977
344	4259	8962
345	4270	8949
346	4274	8918
347	4288	8909
348	4299	8895
349	4310	8880
350	4321	8864
351	4332	8850
352	4343	8835
353	4354	8820
354	4365	8805
355	4376	8790
356	4387	8775
357	4398	8760
358	4409	8746
359	4420	8730
360	4431	8715
361	4442	8701
362	4453	8686
363	4464	8672
364	4475	8657
365	4487	8643
366	4497	8628
367	4508	8613
368	4520	8599
369	4531	8585
370	4542	8571
371	4557	8564
372	4576	8564
373	4593	8560
374	4610	8557
375	4627	8552
376	4644	8549
377	4660	8543
378	4677	8540
379	4689	8528
380	4701	8513
381	4711	8498
382	4723	8484
383	4733	8469
384	4744	8454
385	4755	8439
386	4766	8424
387	4778	8412
388	4793	8403
389	4804	8389
390	4815	8374
391	4835	8374
392	4848	8363
393	4861	8352
394	4871	8337
395	4883	8323
396	4894	8309
397	4905	8295
398	4916	8280
399	4936	8280
400	4952	8275
401	4964	8262
402	4976	8248
403	4987	8234
404	5000	8223
405	5012	8210
406	5024	8196
407	5036	8183
408	5047	8170
409	5059	8157
410	5071	8144
411	5083	8131
412	5096	8119
413	5108	8106
414	5119	8093
415	5131	8079
416	5143	8066
417	5155	8054
418	5168	8041
419	5182	8032
420	5194	8020
421	5206	8006
422	5218	7994
423	5231	7982
424	5243	7969
425	5255	7957
426	5269	7947
427	5285	7940
428	5297	7927
429	5309	7915
430	5322	7902
431	5335	7892
432	5349	7882
433	5366	7877
434	5384	7872
435	5401	7866
436	5417	7860
437	5434	7853
438	5450	7846
439	5466	7839
440	5482	7832
441	5499	7825
442	5515	7819
443	5531	7811
444	5548	7805
445	5565	7799
446	5582	7792
447	5597	7784
448	5614	7777
449	5630	7770
450	5647	7763
451	5663	7756
452	5680	7749
453	5697	7742
454	5713	7735
455	5729	7727
456	5746	7720
457	5762	7712
458	5779	7706
459	5796	7699
460	5812	7691
461	5829	7684
462	5845	7676
463	5862	7669
464	5878	7660
465	5894	7652
466	5911	7645
467	5927	7637
468	5944	7629
469	5960	7621
470	5977	7614
471	5994	7607
472	6011	7599
473	6028	7592
474	6040	7579
475	6053	7566
476	6065	7553
477	6078	7540
478	6090	7526
479	6102	7513
480	6113	7499
481	6125	7485
482	6137	7471
483	6148	7456
484	6159	7442
485	6171	7428
486	6183	7414
487	6197	7403
488	6213	7395
489	6229	7386
490	6246	7378
491	6249	7355
492	6267	7348
493	6284	7340
494	6301	7332
495	6317	7323
496	6334	7316
497	6350	7307
498	6367	7299
499	6384	7290
500	6400	7282
501	6417	7273
502	6433	7264
503	6449	7255
504	6466	7247
505	6483	7239
506	6499	7230
507	6516	7222
508	6533	7213
509	6549	7204
510	6567	7196
511	6583	7187
512	6600	7179
513	6616	7170
514	6619	7146
515	6636	7137
516	6652	7128
517	6668	7118
518	6684	7109
519	6701	7100
520	6717	7091
521	6735	7083
522	6742	7064
523	6759	7055
524	6774	7045
525	6791	7036
526	6807	7027
527	6823	7017
528	6840	7008
529	6856	6998
530	6873	6989
531	6889	6980
532	6906	6970
533	6921	6960
534	6939	6952
535	6956	6943
536	6972	6934
537	6989	6924
538	7005	6914
539	7023	6906
540	7039	6896
541	7056	6887
542	7072	6876
543	7089	6868
544	7106	6858
545	7127	6852
546	7154	6853
547	7175	6847
548	7195	6841
549	7213	6832
550	7231	6824
551	7251	6818
552	7271	6811
553	7290	6803
554	7309	6795
555	7325	6785
556	7342	6775
557	7359	6766
558	7375	6755
559	7392	6745
560	7404	6730
561	7415	6716
562	7426	6701
563	7439	6687
564	7455	6676
565	7472	6666
566	7488	6656
567	7504	6646
568	7521	6635
569	7540	6627
570	7558	6618
571	7576	6609
572	7595	6601
573	7613	6592
574	7631	6583
575	7648	6572
576	7665	6563
577	7685	6555
578	7706	6548
579	7725	6540
580	7742	6529
581	7759	6519
582	7776	6509
583	7792	6498
584	7809	6488
585	7826	6477
586	7843	6467
587	7855	6452
588	7866	6437
589	7877	6422
590	7888	6406
591	7899	6391
592	7911	6377
593	7923	6362
594	7939	6351
595	7955	6340
596	7972	6329
597	7988	6319
598	8005	6307
599	8021	6296
600	8037	6285
601	8053	6274
602	8069	6263
603	8085	6251
604	8101	6239
605	8115	6227
606	8128	6213
607	8143	6201
608	8158	6189
609	8173	6176
610	8189	6165
611	8204	6153
612	8216	6138
613	8227	6123
614	8238	6108
615	8250	6094
616	8265	6081
617	8276	6066
618	8287	6051
619	8298	6036
620	8309	6021
621	8320	6006
622	8331	5991
623	8342	5976
624	8353	5961
625	8365	5946
626	8379	5933
627	8392	5920
628	8407	5907
629	8422	5895
630	8437	5883
631	8453	5872
632	8469	5860
633	8486	5849
634	8503	5838
635	8519	5827
636	8535	5815
637	8551	5803
638	8566	5791
639	8582	5779
640	8597	5767
641	8612	5755
642	8624	5740
643	8635	5725
644	8646	5710
645	8657	5695
646	8668	5680
647	8679	5665
648	8690	5650
649	8700	5635
650	8712	5620
651	8723	5605
652	8734	5590
653	8744	5575
654	8755	5560
655	8766	5545
656	8777	5531
657	8788	5516
658	8799	5501
659	8810	5486
660	8821	5471
661	8832	5456
662	8843	5441
663	8854	5427
664	8864	5412
665	8876	5397
666	8887	5383
667	8898	5368
668	8909	5353
669	8920	5338
670	8931	5324
671	8942	5309
672	8954	5295
673	8965	5281
674	8976	5266
675	8987	5251
676	8998	5237
677	9010	5222
678	9021	5208
679	9032	5193
680	9043	5179
681	9055	5164
682	9066	5150
683	9077	5135
684	9088	5121
685	9099	5106
686	9110	5092
687	9121	5077
688	9132	5063
689	9144	5049
690	9155	5035
691	9166	5020
692	9177	5006
693	9189	4992
694	9200	4977
695	9211	4963
696	9222	4948
697	9233	4934
698	9247	4921
699	9265	4910
700	9276	4896
701	9287	4881
702	9298	4867
703	9309	4853
704	9321	4839
705	9339	4828
706	9352	4815
707	9363	4800
708	9374	4786
709	9385	4771
710	9396	4757
711	9408	4743
712	9420	4730
713	9441	4720
714	9458	4709
715	9471	4695
716	9485	4683
717	9501	4671
718	9513	4657
719	9526	4644
720	9538	4630
721	9553	4617
722	9568	4605
723	9583	4593
724	9600	4581
725	9617	4570
726	9633	4558
727	9648	4546
728	9664	4533
729	9679	4521
730	9696	4510
731	9713	4498
732	9729	4486
733	9744	4473
734	9759	4461
735	9772	4448
736	9784	4434
737	9797	4420
738	9809	4407
739	9822	4393
740	9836	4380
741	9851	4368
742	9870	4357
743	9889	4346
744	9909	4336
745	9927	4325
746	9944	4313
747	9962	4301
748	9979	4290
749	9999	4279
750	10017	4268
751	10031	4255
752	10047	4243
753	10060	4229
754	10073	4216
755	10089	4203
756	10101	4189
757	10113	4176
758	10124	4161
759	10136	4147
760	10147	4133
761	10159	4119
762	10172	4106
763	10185	4092
764	10203	4081
765	10218	4068
766	10234	4056
767	10250	4044
768	10265	4031
769	10278	4018
770	10294	4005
771	10308	3992
772	10321	3979
773	10337	3966
774	10353	3954
775	10368	3941
776	10385	3929
777	10401	3917
778	10415	3904
779	10428	3890
780	10442	3877
781	10456	3864
782	10469	3850
783	10483	3837
784	10497	3824
785	10512	3811
786	10528	3799
787	10543	3786
788	10559	3774
789	10573	3760
790	10587	3747
791	10602	3734
792	10616	3721
793	10630	3708
794	10646	3696
795	10662	3683
796	10675	3670
797	10691	3657
798	10707	3645
799	10721	3631
800	10735	3618
801	10751	3606
802	10766	3593
803	10779	3579
804	10793	3566
805	10808	3553
806	10822	3540
807	10835	3527
808	10850	3513
809	10864	3500
810	10878	3487
811	10892	3474
812	10908	3461
813	10927	3450
814	10944	3437
815	10957	3424
816	10969	3410
817	10982	3396
818	10998	3384
819	11011	3370
820	11026	3357
821	11040	3344
822	11054	3331
823	11068	3317
824	11083	3304
825	11097	3291
826	11112	3278
827	11127	3265
828	11142	3252
829	11155	3239
830	11170	3226
831	11185	3213
832	11200	3200
833	11214	3186
834	11231	3174
835	11248	3161
836	11262	3148
837	11278	3135
838	11293	3122
839	11309	3110
840	11324	3096
841	11342	3084
842	11359	3072
843	11376	3059
844	11394	3047
845	11410	3034
846	11422	3020
847	11439	3008
848	11450	2994
849	11491	2987
850	11509	2975
851	11523	2962
852	11535	2948
853	11547	2934
854	11558	2920
855	11569	2905
856	11580	2891
857	11591	2877
858	11602	2863
859	11613	2849
860	11625	2835
861	11636	2821
862	11647	2807
863	11658	2793
864	11669	2778
865	11680	2764
866	11691	2750
867	11701	2736
868	11714	2723
869	11729	2709
870	11741	2696
871	11752	2682
872	11763	2668
873	11774	2654
874	11785	2639
875	11796	2625
876	11807	2611
877	11818	2597
878	11829	2583
879	11840	2569
880	11852	2556
881	11863	2542
882	11874	2528
883	11885	2514
884	11896	2500
885	11907	2486
886	11918	2472
887	11929	2458
888	11940	2444
889	11951	2430
890	11962	2416
891	11973	2402
892	11984	2388
893	11995	2374
894	12006	2361
895	12017	2347
896	12028	2333
897	12039	2319
898	12050	2305
899	12062	2291
900	12073	2278
901	12084	2264
902	12095	2250
903	12106	2236
904	12117	2222
905	12128	2208
906	12139	2194
907	12150	2181
908	12161	2167
909	12172	2153
910	12183	2139
911	12195	2126
912	12210	2113
913	12220	2099
914	12231	2085
915	12242	2071
916	12253	2057
917	12264	2044
918	12275	2030
919	12288	2016
920	12304	2004
921	12321	1991
922	12341	1978
923	12359	1966
924	12372	1952
925	12384	1939
926	12396	1925
927	12408	1912
928	12420	1898
929	12432	1884
930	12444	1871
931	12455	1857
932	12467	1844
933	12479	1830
934	12490	1816
935	12501	1803
936	12512	1789
937	12523	1775
938	12534	1762
939	12545	1748
940	12556	1734
941	12567	1721
942	12578	1707
943	12589	1693
944	12600	1680
945	12611	1666
946	12623	1652
947	12634	1639
948	12645	1625
949	12656	1612
950	12668	1598
951	12679	1584
952	12690	1571
953	12702	1557
954	12720	1545
955	12735	1532
956	12752	1519
957	12768	1506
958	12784	1493
959	12801	1480
960	12817	1467
961	12833	1454
962	12849	1441
963	12865	1428
964	12882	1415
965	12909	1403
966	12926	1390
967	12944	1377
968	12956	1363
969	12968	1350
970	12979	1336
971	12990	1323
972	13001	1309
973	13011	1295
974	13022	1282
975	13033	1268
976	13045	1255
977	13056	1241
978	13066	1227
979	13078	1214
980	13089	1200
981	13100	1187
982	13112	1173
983	13124	1160
984	13135	1146
985	13148	1133
986	13165	1120
987	13195	1108
988	13209	1095
989	13223	1081
990	13236	1068
991	13250	1055
992	13265	1042
993	13281	1028
994	13297	1015
995	13315	1002
996	13332	989
997	13348	976
998	13368	963
999	13386	950
1000	13408	937
1001	13429	924
1002	13449	911
1003	13473	899
1004	13498	886
1005	13521	873
1006	13543	860
1007	13562	847
1008	13582	834
1009	13603	821
1010	13624	808
1011	13644	795
1012	13663	782
1013	13685	769
1014	13707	756
1015	13726	743
1016	13745	729
1017	13764	716
1018	13781	703
1019	13797	689
1020	13816	676
1021	13833	663
1022	13851	649
1023	13868	636
1024	13886	623
1025	13902	609
1026	13920	596
1027	13938	583
1028	13956	569
1029	13975	556
1030	13993	542
1031	14011	529
1032	14029	516
1033	14046	502
1034	14065	489
1035	14083	475
1036	14101	462
1037	14118	448
1038	14138	435
1039	14156	421
1040	14174	408
1041	14194	395
1042	14212	381
1043	14230	368
1044	14248	354
1045	14266	340
1046	14284	327
1047	14304	313
1048	14323	300
1049	14341	286
1050	14359	273
1051	14377	259
1052	14395	246
1053	14412	232
1054	14431	218
1055	14450	205
1056	14467	191
1057	14485	177
1058	14504	164
1059	14521	150
1060	14538	137
1061	14555	123
1062	14572	109
1063	14589	95
1064	14606	82
1065	14623	68
1066	14639	54
1067	14657	41
1068	14674	27
1069	14691	13
1070	14708	0
